Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
St Martin,France,2020-05-03 16:32:33,18.0708,-63.0501,38,3,27,8.0,,98.29535166455419,,,7.894736842105262,663,MAF,,
Tasmania,Australia,2020-05-03 16:32:33,-42.8821,147.3272,221,13,158,50.0,,41.26984126984127,,,5.882352941176472,3606,AUS,,
Tianjin,China,2020-05-03 16:32:33,39.3054,117.323,190,3,185,2.0,,1.2179487179487178,,,1.5789473684210529,15627,CHN,,
Tibet,China,2020-05-03 16:32:33,31.6927,88.0924,1,0,1,0.0,,0.02906976744186046,,,0.0,15628,CHN,,
Turks and Caicos Islands,United Kingdom,2020-05-03 16:32:33,21.69400000000001,-71.7979,12,1,5,6.0,,30.99333643266697,,,8.333333333333334,796,TCA,,
Victoria,Australia,2020-05-03 16:32:33,-37.8136,144.9631,1384,18,1300,66.0,,20.875126321663977,,,1.300578034682081,3607,AUS,,
Western Australia,Australia,2020-05-03 16:32:33,-31.9505,115.8605,551,9,523,19.0,,20.945791834562453,,,1.6333938294010892,3608,AUS,,
Xinjiang,China,2020-05-03 16:32:33,41.1129,85.2401,76,3,73,0.0,,0.30558906312826695,,,3.947368421052632,15629,CHN,,
Yukon,Canada,2020-05-03 16:32:33,64.2823,-135.0,11,0,0,11.0,,26.778324163785967,,,0.0,12412,CAN,,
Yunnan,China,2020-05-03 16:32:33,24.974,101.487,185,2,181,2.0,,0.3830227743271222,,,1.0810810810810811,15630,CHN,,
Zhejiang,China,2020-05-03 16:32:33,29.1832,120.0934,1268,1,1265,2.0,,2.2102143977688686,,,0.07886435331230282,15631,CHN,,
Diamond Princess,Canada,2020-05-03 16:32:33,,,1,1,0,0.0,,,,,100.0,12413,CAN,,
Grand Princess,Canada,2020-05-03 16:32:33,,,13,0,0,13.0,,,,,0.0,12414,CAN,,
