Province/State,Country/Region,Lat,Long,Date,Observation,Observation Type
,Armenia,40.0691,45.0382,2020-03-03,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-04,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-05,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-06,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-07,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-08,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-09,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-10,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-11,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-12,4,Confirmed
,Armenia,40.0691,45.0382,2020-03-13,8,Confirmed
,Armenia,40.0691,45.0382,2020-03-14,18,Confirmed
,Armenia,40.0691,45.0382,2020-03-15,26,Confirmed
,Armenia,40.0691,45.0382,2020-03-16,52,Confirmed
,Armenia,40.0691,45.0382,2020-03-17,1,Recovered
,Armenia,40.0691,45.0382,2020-03-17,78,Confirmed
,Armenia,40.0691,45.0382,2020-03-18,1,Recovered
,Armenia,40.0691,45.0382,2020-03-18,84,Confirmed
,Armenia,40.0691,45.0382,2020-03-19,1,Recovered
,Armenia,40.0691,45.0382,2020-03-19,115,Confirmed
,Armenia,40.0691,45.0382,2020-03-20,1,Recovered
,Armenia,40.0691,45.0382,2020-03-20,136,Confirmed
,Armenia,40.0691,45.0382,2020-03-21,1,Recovered
,Armenia,40.0691,45.0382,2020-03-21,160,Confirmed
,Armenia,40.0691,45.0382,2020-03-22,2,Recovered
,Armenia,40.0691,45.0382,2020-03-22,194,Confirmed
,Armenia,40.0691,45.0382,2020-03-23,2,Recovered
,Armenia,40.0691,45.0382,2020-03-23,235,Confirmed
,Armenia,40.0691,45.0382,2020-03-24,14,Recovered
,Armenia,40.0691,45.0382,2020-03-24,249,Confirmed
,Armenia,40.0691,45.0382,2020-03-25,16,Recovered
,Armenia,40.0691,45.0382,2020-03-25,265,Confirmed
,Armenia,40.0691,45.0382,2020-03-26,1,Death
,Armenia,40.0691,45.0382,2020-03-26,18,Recovered
,Armenia,40.0691,45.0382,2020-03-26,290,Confirmed
,Armenia,40.0691,45.0382,2020-03-27,1,Death
,Armenia,40.0691,45.0382,2020-03-27,28,Recovered
,Armenia,40.0691,45.0382,2020-03-27,329,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-13,1,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-14,1,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-15,1,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-16,2,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-17,2,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-18,3,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-19,4,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-20,6,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-21,9,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-22,19,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-23,32,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-24,39,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-25,39,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-26,1,Recovered
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-26,53,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-27,1,Recovered
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-27,62,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-01-26,3,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-01-27,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-01-28,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-01-29,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-01-30,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-01-30,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-01-31,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-01-31,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-01,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-01,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-02,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-02,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-03,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-03,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-04,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-04,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-05,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-05,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-06,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-06,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-07,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-07,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-08,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-08,4,Confirmed
