Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Portugal,2020-05-15 14:32:16,39.3999,-8.2245,28583.0,1190.0,3328.0,24065.0,280.31598828916043,,,4.163313857887555,620,PRT
Qatar,2020-05-15 14:32:16,25.3548,51.1839,29425.0,14.0,3546.0,25865.0,1021.325484370336,,,0.0475785896346644,634,QAT
Romania,2020-05-15 14:32:16,45.9432,24.9668,16437.0,1056.0,9370.0,6011.0,85.4416867894999,,,6.424530023726957,642,ROU
Rwanda,2020-05-15 14:32:16,-1.9403,29.8739,287.0,0.0,168.0,119.0,2.2158382404113457,,,0.0,646,RWA
Saint Kitts and Nevis,2020-05-15 14:32:16,17.357822,-62.782998,15.0,0.0,14.0,1.0,28.19972928259889,,,0.0,659,KNA
Saint Lucia,2020-05-15 14:32:16,13.9094,-60.9789,18.0,0.0,18.0,0.0,9.802373263482348,,,0.0,662,LCA
Saint Vincent and the Grenadines,2020-05-15 14:32:16,12.9843,-61.2872,17.0,0.0,14.0,3.0,15.322631526765035,,,0.0,670,VCT
San Marino,2020-05-15 14:32:16,43.9424,12.4578,652.0,41.0,189.0,422.0,1921.1503329601042,,,6.288343558282207,674,SMR
Sao Tome and Principe,2020-05-15 14:32:16,0.18636,6.613081,235.0,7.0,4.0,224.0,107.2271070126528,,,2.9787234042553186,678,STP
Saudi Arabia,2020-05-15 14:32:16,23.885942,45.079162,49176.0,292.0,21869.0,27015.0,141.25405833256042,,,0.5937855864649423,682,SAU
Senegal,2020-05-15 14:32:16,14.4974,-14.4524,2310.0,25.0,890.0,1395.0,13.796044297844055,,,1.0822510822510822,686,SEN
Serbia,2020-05-15 14:32:16,44.0165,21.0059,10438.0,225.0,4301.0,5912.0,119.46386612905256,,,2.1555853611803033,688,SRB
Seychelles,2020-05-15 14:32:16,-4.6796,55.492,11.0,0.0,10.0,1.0,11.185682326621924,,,0.0,690,SYC
Sierra Leone,2020-05-15 14:32:16,8.460555000000001,-11.779889,408.0,26.0,97.0,285.0,5.114714393972158,,,6.372549019607844,694,SLE
Singapore,2020-05-15 14:32:16,1.2833,103.8333,26891.0,21.0,5973.0,20897.0,459.6482633582338,,,0.07809304228180433,702,SGP
Slovakia,2020-05-15 14:32:16,48.669,19.699,1480.0,27.0,1131.0,322.0,27.10799955235168,,,1.8243243243243243,703,SVK
Slovenia,2020-05-15 14:32:16,46.1512,14.9955,1465.0,103.0,270.0,1092.0,70.4688753648508,,,7.030716723549488,705,SVN
Somalia,2020-05-15 14:32:16,5.152149,46.199616,1284.0,53.0,135.0,1096.0,8.078917178452018,,,4.127725856697818,706,SOM
