index,Country/Region,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
237,Colombia,4,31.0,0.0,0.0,31.0,31.0,0.0,0.0,-1.0,0.0,15.0,1.5,-2.0
43,Armenia,4,26.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,-5.0,-1.3333333333333333,-1.0
698,Martinique,4,16.0,1.0,0.0,15.0,16.0,0.0625,0.0,1.0,0.0,-10.0,1.0,inf
244,Costa Rica,4,36.0,0.0,0.0,36.0,36.0,0.0,0.0,-1.0,0.0,20.0,-3.0,-2.0
705,Moldova,4,23.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,-13.0,-1.65,-1.0
713,Morocco,4,12.0,2.0,1.0,9.0,11.0,0.16666666666666666,0.08333333333333333,2.0,1.0,-2.0,0.0,inf
10,Albania,4,38.0,1.0,0.0,37.0,38.0,0.02631578947368421,0.0,-1.0,-1.0,26.0,-14.0,-1.5
250,Croatia,4,14.0,0.0,0.0,14.0,14.0,0.0,0.0,-1.0,0.0,-24.0,-1.9230769230769231,0.0
735,New Zealand,4,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,-9.0,-0.625,-1.0
1091,Ukraine,4,14.0,2.0,0.0,12.0,14.0,0.14285714285714285,0.0,2.0,0.0,9.0,-2.0,inf
268,Czechia,4,298.0,0.0,3.0,295.0,295.0,0.0,0.010067114093959731,-2.0,3.0,284.0,30.555555555555557,-2.0
149,Cameroon,4,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,-3.0,-294.0,-2.035211267605634,-1.0
498,Iran,4,43.0,8.0,0.0,35.0,43.0,0.18604651162790697,0.0,8.0,0.0,34.0,-2.888888888888889,inf
461,Iceland,4,11.0,0.0,0.0,11.0,11.0,0.0,0.0,-8.0,0.0,-32.0,-1.9411764705882353,-2.0
137,Bulgaria,4,51.0,2.0,0.0,49.0,51.0,0.0392156862745098,0.0,2.0,0.0,40.0,-2.25,-1.25
34,Argentina,4,24.0,2.0,0.0,22.0,24.0,0.08333333333333333,0.0,0.0,0.0,-27.0,-1.675,-1.0
524,Iraq,4,13.0,0.0,0.0,13.0,13.0,0.0,0.0,-2.0,0.0,-11.0,-0.5925925925925926,-inf
550,Israel,4,4.0,0.0,1.0,3.0,3.0,0.0,0.25,0.0,1.0,-9.0,-0.18181818181818177,-1.0
1103,United Kingdom,4,1953.0,55.0,53.0,1845.0,1900.0,0.02816180235535074,0.02713773681515617,55.0,53.0,1917.0,75.68,inf
562,Italy,4,155.0,3.0,2.0,150.0,153.0,0.01935483870967742,0.012903225806451613,-52.0,-51.0,-1798.0,-1.93792383933229,-1.9454545454545453
122,Bosnia and Herzegovina,4,11.0,0.0,0.0,11.0,11.0,0.0,0.0,-3.0,-2.0,-144.0,-0.9199110122358176,-0.9423076923076923
586,Jamaica,4,12.0,0.0,2.0,10.0,10.0,0.0,0.16666666666666666,0.0,2.0,1.0,-1.0069444444444444,-1.0
1017,Taiwan*,4,67.0,1.0,20.0,46.0,47.0,0.014925373134328358,0.29850746268656714,1.0,18.0,55.0,54.0,inf
903,South Africa,4,37.0,0.0,0.0,37.0,37.0,0.0,0.0,-1.0,-20.0,-30.0,-1.5454545454545454,-2.0
28,Andorra,4,2.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,-35.0,0.16666666666666674,-1.0
408,Guyana,4,7.0,1.0,0.0,6.0,7.0,0.14285714285714285,0.0,1.0,-1.0,-10.0,-2.111111111111111,inf
743,Norway,4,19.0,0.0,0.0,19.0,19.0,0.0,0.0,-1.0,0.0,12.0,-2.2,-2.0
893,Slovenia,4,198.0,0.0,0.0,198.0,198.0,0.0,0.0,0.0,0.0,179.0,13.916666666666666,-1.0
785,Panama,4,43.0,1.0,0.0,42.0,43.0,0.023255813953488372,0.0,1.0,-1.0,39.0,-5.333333333333333,inf
791,Paraguay,4,9.0,0.0,0.0,9.0,9.0,0.0,0.0,-1.0,0.0,-34.0,-1.8717948717948718,-2.0
759,Others,4,218.0,0.0,0.0,218.0,218.0,0.0,0.0,0.0,0.0,209.0,-7.147058823529412,-1.0
182,China,4,2062.0,56.0,49.0,1957.0,2013.0,0.027158098933074686,0.02376333656644035,56.0,49.0,2020.0,71.14285714285714,inf
774,Pakistan,4,12.0,0.0,2.0,10.0,10.0,0.0,0.16666666666666666,-56.0,-47.0,-2050.0,-2.014851485148515,-2.0
306,Estonia,4,12.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,-2.0,0.0,-1.0,-1.0
801,Philippines,4,10.0,5.0,0.0,5.0,10.0,0.5,0.0,5.0,0.0,-2.0,-inf,inf
17,Algeria,5,19.0,0.0,0.0,19.0,19.0,0.0,0.0,-5.0,0.0,9.0,-5.5,-2.0
284,Ecuador,5,30.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,11.0,0.22222222222222232,-1.0
